,player_id,player_name,team,age,country,avg_rating,height_cm,position,weight_kg
80,345845,Eddie Nketiah,Arsenal,19,gb,6.05,175,Forward,72
81,342563,Joe Willock,Arsenal,18,gb,6.04,179,M(C),71
82,131464,James Tarkowski,Burnley,25,gb,7.22,185,D(C),81
83,74606,Kevin Long,Burnley,27,ie,7.16,188,D(C),83
84,94935,Ben Mee,Burnley,28,gb,7.12,180,D(CL),74
85,93473,Robbie Brady,Burnley,26,ie,7.1,176,"D(L),M(CLR)",71
86,41868,Johann Berg Gudmundsson,Burnley,27,is,7.02,186,AM(CLR),78
87,80067,Matthew Lowton,Burnley,29,gb,6.97,180,"D(LR),M(R)",78
88,105720,Nick Pope,Burnley,26,gb,6.93,191,GK,76
89,15764,Stephen Ward,Burnley,32,ie,6.89,184,D(L),82
90,18181,Phil Bardsley,Burnley,33,gb,6.87,180,D(LR),74
91,73380,Chris Wood,Burnley,26,nz,6.79,191,FW,81
92,19155,Steven Defour,Burnley,30,be,6.77,173,DMC,65
93,107462,Charlie Taylor,Burnley,24,gb,6.75,176,"D(L),M(L)",70
94,22847,Jack Cork,Burnley,29,gb,6.74,183,DMC,70
95,21686,Scott Arfield,Burnley,29,ca,6.63,178,AM(CLR),70
96,5625,Aaron Lennon,Burnley,31,gb,6.58,165,M(LR),63
97,33386,Ashley Barnes,Burnley,28,gb,6.57,186,"AM(CL),FW",77
98,17708,Tom Heaton,Burnley,32,gb,6.46,188,GK,85
99,13938,Sam Vokes,Burnley,28,gb,6.46,186,FW,90
100,79050,Ashley Westwood,Burnley,28,gb,6.41,175,DMC,80
101,86454,Jeff Hendrick,Burnley,26,ie,6.33,185,M(CR),79
102,134887,Georges-Kévin Nkoudou,Burnley,23,fr,6.21,174,AM(LR),68
103,122554,Nahki Wells,Burnley,28,bm,6.02,170,"AM(L),FW",69
104,357427,Dwight McNeil,Burnley,18,,6.0,0,Forward,0
105,3860,Jonathan Walters,Burnley,34,ie,5.92,183,"M(CLR),FW",79
106,13796,Theo Walcott,Everton,29,gb,7.13,176,"M(LR),FW",68
107,43712,Cuco Martina,Everton,28,,6.98,185,D(CLR),77
108,80464,Idrissa Gueye,Everton,28,sn,6.95,174,M(C),66
109,107941,Michael Keane,Everton,25,gb,6.94,191,D(CR),82
110,69346,Gylfi Sigurdsson,Everton,28,is,6.88,186,"M(CLR),FW",79
111,255961,Jonjoe Kenny,Everton,21,gb,6.87,176,D(R),67
112,31826,Seamus Coleman,Everton,29,ie,6.87,177,"D(R),M(R)",67
113,6105,Phil Jagielka,Everton,35,gb,6.82,180,D(CR),87
114,297544,Mason Holgate,Everton,21,gb,6.81,184,D(CR),63
115,77438,Cenk Tosun,Everton,27,tr,6.74,183,FW,78
116,8222,Leighton Baines,Everton,33,gb,6.73,170,"D(L),M(L)",74
117,141469,Dominic Calvert-Lewin,Everton,21,gb,6.72,176,"AM(L),FW",71
118,8408,Ashley Williams,Everton,33,gb,6.7,183,D(C),77
119,111141,Oumar Niasse,Everton,28,sn,6.64,182,FW,75
120,3859,Wayne Rooney,Everton,32,gb,6.64,176,"M(CLR),FW",83
121,110189,Jordan Pickford,Everton,24,gb,6.63,185,GK,77
122,29544,Morgan Schneiderlin,Everton,28,fr,6.57,181,DMC,75
123,316077,Tom Davies,Everton,20,gb,6.41,180,M(C),70
124,121454,Ramiro Funes Mori,Everton,27,ar,6.37,186,D(C),78
125,343975,Nikola Vlasic,Everton,20,hr,6.36,178,AM(R),72
126,5625,Aaron Lennon,Everton,31,gb,6.36,165,M(LR),63
127,69844,Yannick Bolasie,Everton,29,cd,6.34,188,"AM(LR),FW",84
128,299451,Ademola Lookman,Everton,20,gb,6.31,174,"AM(CLR),FW",78
129,31281,James McCarthy,Everton,27,ie,6.25,180,M(C),72
130,90983,Muhamed Besic,Everton,25,ba,6.24,180,DMC,80
131,15834,Kevin Mirallas,Everton,30,be,6.18,182,"M(CLR),FW",72
132,108860,Davy Klaassen,Everton,25,nl,6.12,179,AM(C),70
133,347436,Beni Baningime,Everton,19,cd,6.1,178,Midfielder,70
134,135242,Sandro Ramírez,Everton,23,es,6.02,175,"AM(L),FW",71
135,68852,Eliaquim Mangala,Everton,27,fr,5.76,188,D(C),84
136,104749,Riyad Mahrez,Leicester,27,dz,7.28,179,AM(CLR),67
137,327683,Wilfred Ndidi,Leicester,21,ng,7.14,183,DMC,74
138,99487,Harry Maguire,Leicester,25,gb,7.08,194,D(C),100
139,106981,Jamie Vardy,Leicester,31,gb,6.98,179,"AM(L),FW",74
140,29574,Yohan Benalouane,Leicester,31,tn,6.96,185,D(CR),86
141,34052,Vicente Iborra,Leicester,30,es,6.85,190,M(C),91
142,18310,Eldin Jakupovic,Leicester,33,ch,6.83,191,GK,85
143,299272,Ben Chilwell,Leicester,21,gb,6.82,178,"D(L),M(L)",77
144,12431,Christian Fuchs,Leicester,32,at,6.81,187,"D(CL),M(L)",89
145,42147,Marc Albrighton,Leicester,28,gb,6.8,175,M(LR),74
146,40560,Aleksandar Dragovic,Leicester,27,at,6.76,184,D(C),76
147,75198,Matty James,Leicester,26,gb,6.63,181,DMC,86
148,8157,Wes Morgan,Leicester,34,jm,6.61,186,D(C),101
149,19545,Kasper Schmeichel,Leicester,31,dk,6.61,189,GK,89
150,23683,Danny Simpson,Leicester,31,ie,6.58,176,D(R),80
151,26222,Shinji Okazaki,Leicester,32,jp,6.58,174,"AM(CLR),FW",70
152,289253,Kelechi Iheanacho,Leicester,21,ng,6.48,185,"AM(C),FW",82
153,332135,Fousseni Diabaté,Leicester,22,ml,6.47,175,Forward,60
154,136945,Demarai Gray,Leicester,22,gb,6.45,180,AM(CLR),74
155,32598,Adrien Silva,Leicester,29,pt,6.4,175,M(C),69
156,243552,Daniel Amartey,Leicester,23,gh,6.39,186,"D(R),DMC",79
157,32018,Andy King,Leicester,29,gb,6.33,184,M(C),79
158,312670,Hamza Choudhury,Leicester,20,gb,6.27,178,M(C),64
159,108055,Islam Slimani,Leicester,30,dz,6.23,188,FW,83
160,19847,Leonardo Ulloa,Leicester,31,ar,6.12,188,FW,89
161,331382,Harvey Barnes,Leicester,20,gb,6.02,174,AM(L),66
162,29832,Ben Hamer,Leicester,30,gb,5.97,192,GK,91
163,34949,Henri Saivet,Newcastle United,27,sn,7.7,174,"M(CLR),FW",76
164,80758,Florian Lejeune,Newcastle United,27,fr,7.05,189,D(C),89
165,105171,Jamaal Lascelles,Newcastle United,24,gb,7.04,188,D(C),89
166,132838,Kenedy,Newcastle United,22,br,6.95,182,M(L),77
167,18538,Jesús Gámez,Newcastle United,33,es,6.94,177,D(LR),75
168,104368,Chancel Mbemba,Newcastle United,23,cd,6.87,182,"D(CL),DMC",81
169,27188,Mohamed Diamé,Newcastle United,31,sn,6.85,184,M(CLR),86
170,238916,Mikel Merino,Newcastle United,22,es,6.85,186,DMC,83
171,68648,Matt Ritchie,Newcastle United,28,gb,6.84,172,AM(CLR),76
172,13450,Robert Elliot,Newcastle United,32,ie,6.83,190,GK,94
173,70099,Ciaran Clark,Newcastle United,28,ie,6.79,185,D(CL),88
174,112009,Paul Dummett,Newcastle United,26,gb,6.76,183,D(CL),82
175,126958,DeAndre Yedlin,Newcastle United,25,us,6.75,172,D(R),75
176,74603,Joselu,Newcastle United,28,es,6.74,192,FW,80
177,135366,Ayoze Pérez,Newcastle United,24,es,6.74,178,"AM(CLR),FW",72
178,46092,Martin Dubravka,Newcastle United,29,sk,6.73,190,GK,80
179,40027,Jonjo Shelvey,Newcastle United,26,gb,6.7,184,M(C),80
180,70483,Karl Darlow,Newcastle United,27,gb,6.66,190,GK,88
181,136356,Isaac Hayden,Newcastle United,23,gb,6.53,185,DMC,79
182,96257,Christian Atsu,Newcastle United,26,gh,6.5,165,AM(CLR),65
183,109227,Javier Manquillo,Newcastle United,24,es,6.49,178,"D(LR),M(R)",76
184,118326,Dwight Gayle,Newcastle United,27,gb,6.49,174,"AM(L),FW",78
185,115279,Aleksandar Mitrovic,Newcastle United,23,rs,6.43,187,FW,90
186,141486,Jacob Murphy,Newcastle United,23,gb,6.29,179,AM(LR),74
187,235743,Rolando Aarons,Newcastle United,22,jm,6.26,178,AM(L),76
188,108055,Islam Slimani,Newcastle United,30,dz,6.18,188,FW,83
189,94892,Massadio Haidara,Newcastle United,25,sn,6.04,181,D(L),76
190,331924,Aaron Wan-Bissaka,Crystal Palace,20,,7.52,183,D(R),72
191,85059,Wilfried Zaha,Crystal Palace,25,ci,7.38,180,"AM(LR),FW",66
192,33930,James Tomkins,Crystal Palace,29,gb,7.31,192,D(CR),74
193,71522,Andros Townsend,Crystal Palace,27,gb,7.11,181,"AM(LR),FW",77
194,302497,Alexander Sørloth,Crystal Palace,22,no,7.1,193,FW,90
195,255777,Ruben Loftus-Cheek,Crystal Palace,22,gb,7.08,191,M(CLR),88
196,70493,Luka Milivojevic,Crystal Palace,27,rs,7.01,186,DMC,80
197,68312,Christian Benteke,Crystal Palace,27,be,6.91,190,FW,83
198,43105,Joel Ward,Crystal Palace,28,gb,6.82,188,"D(LR),DMC,M(R)",83
199,29575,Mamadou Sakho,Crystal Palace,28,fr,6.81,187,D(C),83
200,12376,Yohan Cabaye,Crystal Palace,32,fr,6.8,174,M(C),71
201,78221,Patrick van Aanholt,Crystal Palace,27,nl,6.8,176,"D(L),M(L)",74
202,20339,James McArthur,Crystal Palace,30,gb,6.75,178,M(CLR),75
203,21571,Wayne Hennessey,Crystal Palace,31,gb,6.74,198,GK,90
204,12124,Scott Dann,Crystal Palace,31,gb,6.69,188,D(C),76
205,91822,Jeffrey Schlupp,Crystal Palace,25,gh,6.66,178,"D(L),M(L)",72
206,7895,Julian Speroni,Crystal Palace,39,ar,6.63,186,GK,87
207,312739,Timothy Fosu-Mensah,Crystal Palace,20,nl,6.57,190,D(CR),78
