,aerials_won,age,assists,avg_rating,bad_controls,blocks,clearances,country,crosses,dispossessed,dribbled_past,dribbles,first_eleven,fouled,fouls,goals,height_cm,interceptions,key_passes,long_balls,man_of_the_match,minutes_played,offsides,offsides_won,own_goals,pass_accuracy,passes,player_id,player_name,position,red_cards,shots,substituted_on,tackles,team,through_balls,weight_kg,yellow_cards
10,2.4,24,2,6.96,0.3,0.3,2.4,gb,0.1,0.5,0.7,0.4,32,0.2,0.7,0,188,1.4,0.4,4.8,0,2827,0.0,0.5,0,86.3,66.1,117973,Eric Dier,"D(CR),DMC",0,0.9,2,1.8,Tottenham,0.0,88,4
11,2.4,22,0,6.94,0.3,0.3,5.1,co,0.0,0.1,0.7,0.3,29,0.6,0.8,0,187,1.2,0.1,3.9,0,2535,0.0,1.1,1,89.4,60.2,322655,Davinson Sánchez,D(C),1,0.3,2,1.2,Tottenham,0.0,81,1
12,0.3,31,0,6.9,0.9,0.0,0.4,be,0.0,1.2,1.0,2.4,21,1.0,1.7,0,185,1.2,0.6,1.3,0,1886,0.0,0.0,0,92.2,50.8,12187,Mousa Dembélé,M(CR),0,0.4,7,1.3,Tottenham,0.0,87,6
13,0.8,28,1,6.74,1.4,0.6,1.0,gb,1.1,0.8,0.7,1.1,9,2.4,1.2,0,173,0.9,1.0,2.0,0,802,0.0,0.2,0,81.5,37.8,24711,Danny Rose,"D(L),M(L)",0,0.7,1,1.5,Tottenham,0.0,72,4
14,0.3,31,0,6.74,0.0,0.0,1.5,fr,0.0,0.0,0.1,0.0,36,0.1,0.0,0,188,0.1,0.0,6.0,1,3240,0.0,0.0,0,75.2,27.7,25604,Hugo Lloris,GK,0,0.0,0,0.0,Tottenham,0.0,82,1
15,0.0,34,0,6.74,0.0,0.0,1.0,nl,0.0,0.0,0.0,0.0,1,0.0,0.0,0,183,0.0,0.0,2.0,0,90,0.0,0.0,0,87.5,24.0,19270,Michel Vorm,GK,0,0.0,0,0.0,Tottenham,0.0,84,0
16,1.0,29,0,6.68,0.3,0.4,3.6,be,0.1,0.0,0.5,0.4,13,0.1,0.6,0,187,0.3,0.2,7.9,0,1177,0.0,0.5,0,85.8,65.4,69933,Toby Alderweireld,D(CR),0,0.7,1,1.4,Tottenham,0.1,90,3
17,1.0,27,0,6.64,0.7,0.2,1.1,ke,0.0,0.7,0.9,1.0,8,0.5,0.7,1,188,0.6,0.3,2.1,0,839,0.0,0.0,0,87.2,34.3,71714,Victor Wanyama,DMC,0,0.7,10,1.7,Tottenham,0.0,80,2
18,0.2,26,2,6.52,1.0,0.0,0.2,ar,0.3,0.8,0.7,0.9,7,0.6,1.0,2,181,0.3,0.6,0.5,0,832,0.1,0.0,0,82.7,17.8,75830,Erik Lamela,AM(CLR),0,0.8,18,0.9,Tottenham,0.1,79,4
19,0.3,22,1,6.49,1.1,0.1,0.5,gb,0.1,0.6,0.5,0.5,9,0.4,0.5,0,178,0.7,0.6,2.2,0,772,0.0,0.0,0,90.0,40.1,143990,Harry Winks,DMC,0,0.2,7,0.9,Tottenham,0.0,65,0
20,0.7,25,1,6.48,1.0,0.0,0.3,br,0.0,1.7,0.3,1.0,2,1.2,0.7,0,172,0.3,1.0,0.2,0,208,0.0,0.0,0,77.9,18.8,92508,Lucas Moura,AM(CLR),0,0.8,4,0.7,Tottenham,0.0,72,0
21,0.5,28,1,6.46,0.6,0.0,0.6,fr,0.1,0.5,0.1,0.5,15,0.2,0.7,1,187,0.3,0.8,0.9,0,1396,0.1,0.0,0,83.5,26.3,29595,Moussa Sissoko,M(CR),0,0.6,18,0.7,Tottenham,0.1,83,3
22,0.9,33,0,6.2,0.5,0.0,0.4,es,0.0,0.2,0.1,0.0,1,0.3,0.3,1,193,0.0,0.3,0.0,0,227,0.1,0.0,0,68.2,5.5,13361,Fernando Llorente,FW,0,0.4,15,0.4,Tottenham,0.0,90,1
23,0.0,23,0,6.0,0.0,0.0,1.0,fr,0.0,0.0,0.0,0.0,0,1.0,0.0,0,174,0.0,0.0,0.0,0,1,0.0,0.0,0,0.0,0.0,134887,Georges-Kévin Nkoudou,AM(LR),0,0.0,1,0.0,Tottenham,0.0,68,0
24,0.0,24,0,6.0,0.0,0.0,0.0,nl,0.0,0.0,0.0,0.0,0,0.0,1.0,0,180,0.0,0.0,0.0,0,1,0.0,0.0,0,0.0,0.0,133381,Vincent Janssen,FW,0,0.0,1,0.0,Tottenham,0.0,79,0
25,0.1,26,6,8.03,1.4,0.0,0.1,br,1.4,1.9,1.3,2.8,13,1.5,0.4,7,172,0.7,2.9,2.7,6,1116,0.3,0.0,0,78.8,49.3,80767,Coutinho,M(CLR),0,3.9,1,1.2,Liverpool,0.4,68,0
