,aerials_won,assists,bad_controls,blocks,clearances,crosses,dispossessed,dribbled_past,dribbles,fouled,fouls,goals,interceptions,key_passes,long_balls,man_of_the_match,offsides,offsides_won,own_goals,pass_accuracy,passes,player_id,red_cards,shots,tackles,through_balls,yellow_cards
3615,0.257051282051282,0.0,0.1211111111111111,0.25625,0.5912087912087912,0.011842105263157895,0.021428571428571425,0.15,0.03309859154929578,0.06826923076923076,0.44285714285714284,0.0,0.5285714285714286,0.07380952380952381,0.4691919191919192,0.0,0.0,0.25277777777777777,0.0,0.8312154584650464,0.4882868937048503,271572,0.0,0.030303030303030307,0.42206221198156685,0.0,0.7071428571428572
3616,0.22649572649572652,0.2279202279202279,0.6444444444444444,0.08333333333333333,0.10989010989010989,0.017543859649122806,0.5952380952380952,0.07291666666666666,0.19718309859154928,0.46794871794871795,0.5158730158730159,0.16339869281045752,0.031746031746031744,0.17460317460317462,0.0303030303030303,0.0606060606060606,0.18840579710144928,0.0,0.18518518518518517,0.5618429078904876,0.09975920192638457,271856,0.0,0.36363636363636365,0.12403993855606757,0.0606060606060606,0.2328042328042328
3617,0.1623931623931624,0.08547008547008546,0.28148148148148144,0.09027777777777778,0.115995115995116,0.04093567251461989,0.2566137566137566,0.34375,0.04225352112676057,0.09615384615384615,0.33862433862433855,0.0,0.24603174603174605,0.12698412698412698,0.2738496071829405,0.0,0.03381642512077295,0.0,0.0,0.8209285141213792,0.3765623208347666,282377,0.0,0.08249158249158249,0.32424475166410643,0.0,0.2619047619047619
3618,0.03318250377073907,0.18099547511312217,0.1973856209150327,0.04044117647058824,0.03296703296703297,0.1996904024767802,0.25770308123249297,0.10294117647058824,0.12841756420878211,0.1595022624434389,0.06302521008403361,0.10380622837370242,0.047619047619047616,0.22549019607843138,0.10516934046345809,0.1925133689839572,0.11253196930946294,0.0,0.0,0.7654673040535633,0.19316457233048018,283362,0.0,0.21390374331550804,0.1117511520737327,0.0,0.18487394957983194
3619,0.08333333333333334,0.0,0.2,0.03125,0.027472527472527472,0.052631578947368425,0.22619047619047616,0.078125,0.028169014084507046,0.14423076923076922,0.17857142857142858,0.0,0.047619047619047616,0.13095238095238096,0.03535353535353535,0.0,0.13043478260869565,0.0,0.0,0.7587813620071685,0.09287925696594426,286828,0.0,0.07575757575757576,0.09792626728110598,0.0,0.0
3620,0.14529914529914534,0.0,0.0888888888888889,0.45833333333333337,0.36996336996337,0.0,0.055555555555555546,0.2604166666666667,0.05164319248826292,0.05769230769230769,0.25396825396825395,0.03676470588235294,0.34126984126984133,0.055555555555555546,0.4646464646464647,0.0,0.0,0.37037037037037035,0.0,0.8861552574389185,0.4588923288613691,287049,0.0,0.15151515151515152,0.2741935483870967,0.0,0.5238095238095238
3621,0.06913919413919414,0.16483516483516483,0.5158730158730159,0.04241071428571429,0.02590266875981162,0.2575187969924812,0.3052721088435374,0.14397321428571427,0.30633802816901406,0.34890109890109894,0.1598639455782313,0.12605042016806722,0.13605442176870747,0.25595238095238093,0.12481962481962482,0.1753246753246753,0.218944099378882,0.0,0.0,0.7194944230789326,0.18719593100398052,289014,0.0,0.32954545454545453,0.2252304147465438,0.0,0.0
3622,0.04304029304029304,0.0,0.24761904761904763,0.04017857142857143,0.03767660910518054,0.0,0.10884353741496598,0.0,0.03722334004024145,0.09890109890109891,0.03231292517006802,0.18907563025210083,0.0,0.049319727891156455,0.013708513708513706,0.0,0.22670807453416153,0.0,0.0,0.7911300037564607,0.07106000294854783,292138,0.0,0.1482683982683983,0.08813364055299538,0.06493506493506493,0.0
3623,0.16666666666666669,0.10256410256410256,0.6622222222222223,0.10000000000000002,0.03296703296703297,0.0,0.3904761904761905,0.13749999999999998,0.19436619718309855,0.3923076923076923,0.3857142857142858,0.29411764705882354,0.07142857142857142,0.0761904761904762,0.016161616161616165,0.10909090909090909,0.6260869565217393,0.0,0.3333333333333333,0.715920915712799,0.11682146542827657,297546,0.0,0.3454545454545455,0.07834101382488479,0.07272727272727274,0.20952380952380953
3624,0.04605887939221273,0.11396011396011395,0.18930041152263374,0.032407407407407406,0.01628001628001628,0.22417153996101366,0.3218694885361552,0.09143518518518519,0.18988002086593636,0.24287749287749288,0.17901234567901234,0.13071895424836602,0.059082892416225746,0.2619047619047619,0.12083800972689862,0.0606060606060606,0.04347826086956522,0.0,0.0,0.7726677948697898,0.2196995757367274,298792,0.0,0.18967452300785634,0.25533367468851337,0.0,0.1746031746031746
3625,0.024216524216524215,0.3988603988603988,0.36296296296296293,0.0,0.028083028083028087,0.24269005847953215,0.46825396825396826,0.32291666666666663,0.24882629107981225,0.2329059829059829,0.21164021164021163,0.22875816993464052,0.08730158730158731,0.4312169312169313,0.180695847362514,0.1818181818181818,0.08695652173913045,0.0,0.0,0.8242661701965485,0.28333906662080033,299321,0.0,0.2272727272727273,0.1436251920122888,0.09090909090909091,0.3492063492063492
3626,0.03708791208791209,0.10989010989010987,0.2142857142857143,0.0,0.04238618524332811,0.0,0.2610544217687075,0.33147321428571425,0.1493963782696177,0.11126373626373624,0.2066326530612245,0.06302521008403361,0.1607142857142857,0.1836734693877551,0.03896103896103896,0.0,0.04192546583850932,0.053571428571428575,0.0,0.82981468732018,0.16556096122659592,299375,0.0,0.16612554112554115,0.36582455562870303,0.0,0.05612244897959184
3627,0.012820512820512824,0.34188034188034183,0.23456790123456792,0.0,0.026251526251526255,0.04824561403508772,0.1865079365079365,0.03645833333333333,0.15492957746478878,0.1826923076923077,0.22486772486772486,0.2450980392156863,0.03835978835978836,0.24603174603174605,0.03647586980920314,0.0909090909090909,0.026570048309178747,0.0,0.0,0.8109333305859202,0.15055612888430225,299451,0.0,0.13468013468013468,0.06746031746031746,0.05555555555555555,0.0873015873015873
3628,0.06923076923076922,0.15384615384615385,0.18,0.0,0.0,0.04736842105263158,0.021428571428571425,0.056249999999999994,0.0,0.03461538461538461,0.19285714285714284,0.2647058823529412,0.0,0.021428571428571425,0.00909090909090909,0.0,0.0782608695652174,0.0,0.0,0.7138397502601457,0.07244582043343653,300624,0.0,0.12272727272727273,0.03525345622119815,0.0,0.15714285714285717
